Title, Content, time for action, time from start 
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-vrouter_bc33bea1"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""auto_pow...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-vrouter_bc33bea1"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""auto_pow...",0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:00
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-vrouter_bc33bea1"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""auto_pow...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-vrouter_bc33bea1"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""auto_pow...",0:00,0:00
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:01,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>ssp-vrouter_bc33bea1</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-vrouter_bc33bea1</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' enqueued,0:00,0:01
'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' started,0:00,0:01
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-vpagent_outside2_template_a277c988"" ""refresh_ip_timeout"": 600.0 ""auto_delet...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-vpagent_outside2_template_a277c988"" ""refresh_ip_timeout"": 600.0 ""auto_delet...",0:00,0:01
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-vpagent_outside2_template_a277c988"" ""refresh_ip_timeout"": 600.0 ""auto_delet...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-vpagent_outside2_template_a277c988"" ""refresh_ip_timeout"": 600.0 ""auto_delet...",0:00,0:01
'<b>ssp-ci-vpagent_outside2_template_a277c988</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-vpagent_outside2_template_a277c988</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:01
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-ipagent_master_template_0fdb1ad9"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-ipagent_master_template_0fdb1ad9"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:01
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-ipagent_master_template_0fdb1ad9"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-ipagent_master_template_0fdb1ad9"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:01
'<b>ssp-ci-ipagent_master_template_0fdb1ad9</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-ipagent_master_template_0fdb1ad9</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:01
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-opagent_master_template_a2e55a95"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-opagent_master_template_a2e55a95"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:01,0:02
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-opagent_master_template_a2e55a95"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-opagent_master_template_a2e55a95"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:02
'<b>ssp-ci-opagent_master_template_a2e55a95</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-opagent_master_template_a2e55a95</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:02
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-mlinux_template_4b84a613"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-mlinux_template_4b84a613"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:10,0:12
