Title, Content, time for action, time from start 
'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-olinux</b>' enqueued,'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-olinux</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-ipagent-master</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-ipagent-master</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-ilinux</b>' enqueued,'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-ilinux</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-olinux</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-olinux</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-win2008</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-win2008</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx1</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx1</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-smtp-server</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-smtp-server</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-vpagent_outside2</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-vpagent_outside2</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-ilinux</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-ilinux</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-mlinux</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-mlinux</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-opagent-master</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-opagent-master</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-acs</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-acs</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx2</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx2</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-olinux</b>' started,'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-olinux</b>' started,0:0,0:0
